IS,ID
77.46480000,38.461500000
57.57580000,49.253700000
83.07690000,14.516100000
100.00000000,100.000000000
100.00000000,58.461500000
62.50000000,100.000000000
36.92310000,77.941200000
69.23080000,68.181800000
100.00000000,71.875000000
54.54550000,54.838700000
100.00000000,41.666700000
17.18750000,69.117600000
100.00000000,32.812500000
87.09680000,86.153800000
100.00000000,86.363600000
70.76920000,57.812500000
72.30770000,32.812500000
27.41940000,17.187500000
100.00000000,12.903200000
47.76120000,75.362300000
39.13040000,100.000000000
9.52380000,38.461500000
71.01450000,100.000000000
52.17390000,78.787900000
54.79450000,100.000000000
61.19400000,8.196700000
29.23080000,
75.38460000,
55.88240000,
100.00000000,
71.21210000,
69.11760000,
90.90910000,
92.64710000,
94.36620000,
94.20290000,
100.00000000,
100.00000000,
9.83610000,
100.00000000,
71.87500000,
100.00000000,
23.43750000,
100.00000000,
41.53850000,
,
,
54.54550000,66.346200000
100.00000000,61.538500000
100.00000000,65.686300000
80.20830000,54.285700000
100.00000000,22.340400000
78.84620000,100.000000000
100.00000000,68.421100000
96.11650000,28.571400000
95.83330000,96.969700000
73.46940000,75.490200000
45.05490000,84.536100000
100.00000000,84.536100000
62.50000000,100.000000000
27.47250000,15.789500000
75.26880000,36.734700000
88.17200000,4.347800000
74.00000000,78.095200000
39.60400000,7.608700000
75.47170000,83.653800000
100.00000000,68.750000000
72.00000000,29.787200000
59.40590000,40.425500000
29.47370000,7.446800000
37.23400000,68.367300000
43.75000000,100.000000000
100.00000000,100.000000000
50.54950000,42.105300000
49.47370000,79.000000000
80.55560000,82.828300000
100.00000000,100.000000000
100.00000000,100.000000000
42.42420000,70.652200000
19.56520000,100.000000000
84.69390000,100.000000000
89.65520000,
88.65980000,
88.88890000,
58.41580000,
8.69570000,
