IS,ID
30.98590000,7.692300000
7.57580000,22.388100000
7.69230000,14.516100000
79.45210000,0.000000000
38.88890000,58.461500000
62.50000000,66.176500000
18.46150000,22.058800000
47.69230000,46.969700000
0.00000000,42.187500000
25.75760000,54.838700000
100.00000000,18.055600000
10.93750000,30.882400000
61.19400000,17.187500000
87.09680000,53.846200000
67.16420000,86.363600000
52.30770000,35.937500000
63.07690000,32.812500000
27.41940000,17.187500000
100.00000000,6.451600000
29.85070000,57.971000000
24.63770000,100.000000000
0.00000000,38.461500000
59.42030000,65.277800000
27.53620000,46.969700000
50.68490000,0.000000000
61.19400000,0.000000000
0.00000000,
75.38460000,
27.94120000,
0.00000000,
19.69700000,
25.00000000,
45.45450000,
0.00000000,
49.29580000,
79.71010000,
2.70270000,
0.00000000,
9.83610000,
86.95650000,
46.87500000,
73.43750000,
3.12500000,
0.00000000,
7.69230000,
,
,
0.00000000,26.923100000
100.00000000,32.692300000
65.30610000,24.509800000
27.08330000,8.571400000
83.33330000,0.000000000
23.07690000,46.534700000
27.55100000,41.052600000
96.11650000,0.000000000
88.54170000,67.676800000
68.36730000,62.745100000
45.05490000,38.144300000
75.53190000,23.711300000
43.75000000,0.000000000
27.47250000,6.315800000
0.00000000,14.285700000
48.38710000,4.347800000
34.00000000,49.523800000
30.69310000,7.608700000
51.88680000,26.923100000
57.84310000,52.083300000
35.00000000,19.148900000
24.75250000,28.723400000
11.57890000,0.000000000
17.02130000,45.918400000
17.70830000,72.449000000
100.00000000,51.485100000
50.54950000,22.105300000
31.57890000,47.000000000
51.85190000,32.323200000
100.00000000,92.307700000
45.94590000,100.000000000
26.26260000,54.347800000
11.95650000,17.857100000
74.48980000,59.405900000
4.59770000,
34.02060000,
35.04270000,
0.00000000,
8.69570000,
