IS,ID
0.17330,0.26670
0.21870,1.19110
0.18130,0.27200
0.07467,0.13330
0.07467,0.27730
0.09067,0.14400
0.04267,0.18400
0.04533,0.18130
0.06400,
0.07467,
0.17600,
0.09333,
0.18130,
0.12800,
0.05067,
0.27470,
0.06667,
,
,
0.64370,0.05553
0.04584,0.04080
0.85570,0.02947
0.58370,0.05667
0.14850,0.04987
0.06762,0.16390
0.02407,0.04307
0.03287,0.08387
0.02380,0.07335
0.15300,0.06800
0.12130,0.05213
0.03173,0.02267
0.02914,0.03094
0.04011,0.06189
0.03324,0.02666
0.23920,
0.19490,
0.15930,
