Control,DFO
1928.270000,713.156700
2194.806000,1863.969000
2534.234000,1329.411000
1019.835000,2242.794000
2328.666000,1894.081000
1482.018000,1372.281000
858.226900,2084.044000
1410.403000,1609.218000
567.592300,2179.504000
1191.442000,1975.719000
1475.437000,2220.092000
1545.212000,2195.660000
3519.010000,1294.067000
1873.884000,1158.472000
1893.169000,3047.196000
2023.849000,1618.059000
2199.686000,1070.513000
4088.784000,1214.611000
1279.080000,1728.964000
2056.888000,1227.153000
