Control,DFO
432.991100,415.035400
880.357700,458.936100
644.334500,462.832600
302.568900,751.336200
920.612900,775.865800
501.047500,490.325300
316.513400,921.822600
357.772000,683.359800
300.475500,528.594800
396.215500,810.011800
506.517200,448.789600
594.147800,366.517800
613.070000,284.279100
370.282000,281.945600
697.837600,1447.387000
480.817600,520.517800
769.919900,389.958500
1414.584000,500.293300
551.996200,695.479600
967.561200,532.293600
