Control,DFO
166.142100,74.530310
62.592790,28.674140
104.994400,30.949240
42.192140,49.715270
58.668900,24.309030
75.459240,29.398540
49.246690,105.656500
52.631560,77.154870
53.423370,86.889970
53.015120,77.713780
121.114900,26.837910
16.685330,50.809500
66.044100,11.606760
34.967490,33.712540
26.562910,49.994030
96.439450,33.258820
102.126100,30.934300
44.570000,89.289750
31.612360,35.637390
40.345440,16.159520
